[iter=145] [PID=21648] [time=48.1s]: param_kd=7, param_n=2, param_alpha=18, param_delta=0.05 -> accuracy=0.3125
[iter=146] [PID=21648] [time=45.5s]: param_kd=4, param_n=2, param_alpha=17, param_delta=0.2868421052631579 -> accuracy=0.6484375
[iter=147] [PID=21648] [time=57.3s]: param_kd=6, param_n=3, param_alpha=20, param_delta=0.16842105263157897 -> accuracy=0.73828125
[iter=148] [PID=21648] [time=31.4s]: param_kd=7, param_n=2, param_alpha=15, param_delta=0.0736842105263158 -> accuracy=0.421875
[iter=149] [PID=21648] [time=62.4s]: param_kd=2, param_n=3, param_alpha=11, param_delta=0.19210526315789472 -> accuracy=0.7421875
[iter=150] [PID=21648] [time=33.0s]: param_kd=6, param_n=2, param_alpha=14, param_delta=0.0736842105263158 -> accuracy=0.421875
[iter=151] [PID=21648] [time=45.1s]: param_kd=2, param_n=2, param_alpha=11, param_delta=0.33421052631578946 -> accuracy=0.12109375
[iter=152] [PID=21648] [time=43.8s]: param_kd=4, param_n=2, param_alpha=10, param_delta=0.4052631578947368 -> accuracy=0.12109375
[iter=153] [PID=21648] [time=40.0s]: param_kd=7, param_n=2, param_alpha=9, param_delta=0.12105263157894737 -> accuracy=0.63671875
[iter=154] [PID=21648] [time=43.0s]: param_kd=7, param_n=2, param_alpha=9, param_delta=0.21578947368421053 -> accuracy=0.12109375
[iter=155] [PID=21648] [time=64.2s]: param_kd=3, param_n=3, param_alpha=10, param_delta=0.16842105263157897 -> accuracy=0.7421875
[iter=156] [PID=21648] [time=49.7s]: param_kd=5, param_n=2, param_alpha=16, param_delta=0.2868421052631579 -> accuracy=0.6484375
[iter=157] [PID=21648] [time=57.0s]: param_kd=9, param_n=3, param_alpha=13, param_delta=0.16842105263157897 -> accuracy=0.7421875
[iter=158] [PID=21648] [time=55.9s]: param_kd=6, param_n=3, param_alpha=14, param_delta=0.21578947368421053 -> accuracy=0.7421875
[iter=159] [PID=21648] [time=42.8s]: param_kd=7, param_n=2, param_alpha=13, param_delta=0.16842105263157897 -> accuracy=0.65625
[iter=160] [PID=21648] [time=57.6s]: param_kd=9, param_n=3, param_alpha=20, param_delta=0.12105263157894737 -> accuracy=0.69140625
[iter=161] [PID=21648] [time=33.8s]: param_kd=5, param_n=3, param_alpha=19, param_delta=0.05 -> accuracy=0.328125
[iter=162] [PID=21648] [time=43.8s]: param_kd=7, param_n=2, param_alpha=19, param_delta=0.16842105263157897 -> accuracy=0.60546875
[iter=163] [PID=21648] [time=46.9s]: param_kd=2, param_n=2, param_alpha=11, param_delta=0.16842105263157897 -> accuracy=0.62890625
[iter=164] [PID=21648] [time=35.3s]: param_kd=5, param_n=2, param_alpha=14, param_delta=0.09736842105263158 -> accuracy=0.5078125
[iter=165] [PID=21648] [time=51.8s]: param_kd=3, param_n=2, param_alpha=16, param_delta=0.19210526315789472 -> accuracy=0.64453125
[iter=166] [PID=21648] [time=63.9s]: param_kd=4, param_n=3, param_alpha=13, param_delta=0.0736842105263158 -> accuracy=0.46484375
[iter=167] [PID=21648] [time=62.1s]: param_kd=3, param_n=3, param_alpha=20, param_delta=0.16842105263157897 -> accuracy=0.71875
[iter=168] [PID=21648] [time=44.0s]: param_kd=5, param_n=2, param_alpha=16, param_delta=0.14473684210526316 -> accuracy=0.625
[iter=169] [PID=21648] [time=57.7s]: param_kd=6, param_n=3, param_alpha=13, param_delta=0.12105263157894737 -> accuracy=0.69140625
[iter=170] [PID=21648] [time=46.4s]: param_kd=2, param_n=2, param_alpha=18, param_delta=0.16842105263157897 -> accuracy=0.609375
[iter=171] [PID=21648] [time=44.5s]: param_kd=4, param_n=2, param_alpha=11, param_delta=0.16842105263157897 -> accuracy=0.6484375
[iter=172] [PID=21648] [time=51.0s]: param_kd=3, param_n=2, param_alpha=11, param_delta=0.19210526315789472 -> accuracy=0.6484375
[iter=173] [PID=21648] [time=43.2s]: param_kd=9, param_n=2, param_alpha=15, param_delta=0.2868421052631579 -> accuracy=0.64453125
[iter=174] [PID=21648] [time=45.1s]: param_kd=9, param_n=2, param_alpha=18, param_delta=0.2868421052631579 -> accuracy=0.6484375
[iter=175] [PID=21648] [time=46.9s]: param_kd=7, param_n=2, param_alpha=18, param_delta=0.16842105263157897 -> accuracy=0.609375
[iter=176] [PID=21648] [time=48.7s]: param_kd=2, param_n=2, param_alpha=14, param_delta=0.2868421052631579 -> accuracy=0.12109375
[iter=177] [PID=21648] [time=57.1s]: param_kd=10, param_n=3, param_alpha=10, param_delta=0.16842105263157897 -> accuracy=0.7421875
[iter=178] [PID=21648] [time=62.8s]: param_kd=5, param_n=3, param_alpha=13, param_delta=0.19210526315789472 -> accuracy=0.7421875
[iter=179] [PID=21648] [time=59.4s]: param_kd=5, param_n=3, param_alpha=11, param_delta=0.12105263157894737 -> accuracy=0.69140625
[iter=180] [PID=21648] [time=32.5s]: param_kd=7, param_n=3, param_alpha=15, param_delta=0.05 -> accuracy=0.35546875
[iter=181] [PID=21648] [time=44.3s]: param_kd=2, param_n=2, param_alpha=8, param_delta=0.2868421052631579 -> accuracy=0.12109375
[iter=182] [PID=21648] [time=44.4s]: param_kd=4, param_n=2, param_alpha=6, param_delta=0.4052631578947368 -> accuracy=0.12109375
[iter=183] [PID=21648] [time=25.8s]: param_kd=4, param_n=2, param_alpha=9, param_delta=0.05 -> accuracy=0.3359375
[iter=184] [PID=21648] [time=45.8s]: param_kd=7, param_n=2, param_alpha=8, param_delta=0.14473684210526316 -> accuracy=0.6484375
[iter=185] [PID=21648] [time=64.4s]: param_kd=2, param_n=3, param_alpha=8, param_delta=0.16842105263157897 -> accuracy=0.12109375
[iter=186] [PID=21648] [time=57.7s]: param_kd=5, param_n=3, param_alpha=17, param_delta=0.2868421052631579 -> accuracy=0.7421875
[iter=187] [PID=21648] [time=41.9s]: param_kd=9, param_n=2, param_alpha=11, param_delta=0.16842105263157897 -> accuracy=0.6484375
[iter=188] [PID=21648] [time=111.3s]: param_kd=9, param_n=3, param_alpha=13, param_delta=0.21578947368421053 -> accuracy=0.7421875
[iter=189] [PID=21648] [time=41.6s]: param_kd=9, param_n=2, param_alpha=14, param_delta=0.23947368421052634 -> accuracy=0.6484375
[iter=190] [PID=21648] [time=55.2s]: param_kd=6, param_n=3, param_alpha=15, param_delta=0.14473684210526316 -> accuracy=0.7265625
[iter=191] [PID=21648] [time=58.9s]: param_kd=5, param_n=3, param_alpha=10, param_delta=0.09736842105263158 -> accuracy=0.62890625
[iter=192] [PID=21648] [time=42.2s]: param_kd=8, param_n=3, param_alpha=9, param_delta=0.05 -> accuracy=0.4296875
[iter=193] [PID=21648] [time=44.9s]: param_kd=3, param_n=2, param_alpha=18, param_delta=0.2631578947368421 -> accuracy=0.6484375
[iter=194] [PID=21648] [time=42.6s]: param_kd=2, param_n=2, param_alpha=16, param_delta=0.14473684210526316 -> accuracy=0.5703125
[iter=195] [PID=21648] [time=64.3s]: param_kd=3, param_n=3, param_alpha=16, param_delta=0.16842105263157897 -> accuracy=0.71875
[iter=196] [PID=21648] [time=36.5s]: param_kd=6, param_n=3, param_alpha=14, param_delta=0.05 -> accuracy=0.34375
[iter=197] [PID=21648] [time=73.1s]: param_kd=3, param_n=3, param_alpha=19, param_delta=0.2868421052631579 -> accuracy=0.7421875
[iter=198] [PID=21648] [time=45.4s]: param_kd=2, param_n=2, param_alpha=13, param_delta=0.3105263157894737 -> accuracy=0.12109375
[iter=199] [PID=21648] [time=40.9s]: param_kd=8, param_n=3, param_alpha=13, param_delta=0.05 -> accuracy=0.3828125
[iter=200] [PID=21648] [time=48.7s]: param_kd=2, param_n=2, param_alpha=15, param_delta=0.19210526315789472 -> accuracy=0.6484375
[iter=201] [PID=21648] [time=44.9s]: param_kd=4, param_n=2, param_alpha=12, param_delta=0.19210526315789472 -> accuracy=0.6484375
[iter=202] [PID=21648] [time=49.4s]: param_kd=8, param_n=2, param_alpha=12, param_delta=0.19210526315789472 -> accuracy=0.6484375
